'liao'jie 了解
'ji'ju'de 急剧地
'lian'hua'lao 莲花落
'yun'yi'fu 熨衣服
'ji'zhuan'ti 纪传体
'qia'bo'zi 卡脖子
'ge'bie'de 个别地
'chan'sha'zi 掺沙子
'huang'deng'deng 黄澄澄
'huo'xi'ni 和稀泥
'zhong'zheng'ju 重证据
'qing'fu'de 轻浮地
'lao'bu'shi 落不是
'shuang'kuai'de 爽快地
'qing'yi'zhong 情意重
'zi'ran'de 自然地
'hen'kuai'de 很快地
'geng'hao'de 更好地
'xiao'sheng'de 小声地
'da'sheng'de 大声地
'qing'chu'de 清楚地
'ji'da'de 极大地
'jian'ding'de 坚定地
'tou'tou'de 偷偷地
'feng'kuang'de 疯狂地
'yong'gan'de 勇敢地
'yi'wai'de 意外地
'huan'man'de 缓慢地
'ao'nao'de 懊恼地
'cao'cao'de 草草地
'xi'tong'de 系统地
'you'xian'de 悠闲地
'qian'cheng'de 虔诚地
'he'ai'de 和蔼地
'pin'fan'de 频繁地
'shun'li'de 顺利地
'ben'neng'de 本能地
'nai'xin'de 耐心地
'xiao'xin'de 小心地
'zhu'dong'de 主动地
'shen'ru'de 深入地
'li'mao'de 礼貌地
'wan'qiang'de 顽强地
'guang'fan'de 广泛地
'chi'yi'de 迟疑地
'yi'di'xie 一滴血
'shei'you'gai 谁又该
'jian'nan'de 艰难地
'le'guan'de 乐观地
'bu'xie'de 不懈地
'shu'lian'de 熟练地
'guai'guai'de 乖乖地
'dong'tai'de 动态地
'lao'gu'de 牢固地
'mi'mi'de 秘密地
'jian'yao'de 简要地
'min'jie'de 敏捷地
'bei'shang'de 悲伤地
'yu'chun'de 愚蠢地
'hua'ji'de 滑稽地
'tu'lao'de 徒劳地
'you'zhong'de 由衷地
'di'zi'bao 底子薄
'an'quan'de 安全地
'yi'han'de 遗憾地
'jiao'ji'de 焦急地
'gong'kai'de 公开地
'jing'po'hu 镜泊湖
'jing'ya'de 惊讶地
'ming'zhi'de 明智地
'zhuang'yan'de 庄严地
'gu'zhi'de 固执地
'xiao'ji'de 消极地
'xing'fu'de 幸福地
'wan'gu'de 顽固地
'dan'xin'de 担心地
'yuan'man'de 圆满地
'jing'qi'de 惊奇地
'fan'fu'de 反复地
'can'ren'de 残忍地
'te'yi'de 特意地
'leng'leng'de 冷冷地
'de'yi'de 得意地
'man'yi'de 满意地
'chi'li'de 吃力地
'qing'mie'de 轻蔑地
'ao'man'de 傲慢地
're'lie'de 热烈地
'bei'lie'de 卑劣地
'cai'yi'de 猜疑地
'han'hu'de 含糊地
'jiao'hua'de 狡猾地
'ju'lie'de 剧烈地
'ti'mian'de 体面地
'jian'rui'de 尖锐地
'ren'zhen'de 认真地
'wu'zhu'de 无助地
'yan'se'hu 堰塞湖
'zeng'qing'hong 曾庆红
'zhang'bo'zhi 张柏芝
'wu'li'de 无力地
'long'zhao'huai 龙爪槐
'li'chang'hao 李昌镐
'zeng'bao'yi 曾宝仪
'liao'ru'zhi'zhang 了如指掌
'shen'chu'gui'mo 神出鬼没
'yi'mu'yi'yang 一模一样
'ci'xiao'bi'zhang 此消彼长
'zen'me'de'liao 怎么得了
'shi'bu'shi'de 时不时地
'mei'wan'mei'liao 没完没了
'shen'shen'xue'zi 莘莘学子
'shen'wu'tong'jue 深恶痛绝
'wu'zi'bie'ke 乌兹别克
'zhong'zhong'zhi'zhong 重中之重
'hong'du'la'si 洪都拉斯
'shen'shi'duo'shi 审时度势
'gong'bu'ke'mo 功不可没
'ke'shi'mi'er 克什米尔
'e'mi'tuo'fo 阿弥陀佛
'you'zhao'yi'ri 有朝一日
'yue'jing'bu'tiao 月经不调
'zhong'yu'tai'shan 重于泰山
'tu'sheng'tu'zhang 土生土长
'ji'zhong'nan'fan 积重难返
'yue'lai'yue'zhong 越来越重
'de'gao'wang'zhong 德高望重
'jiao'xue'xiang'zhang 教学相长
'zhao'hua'xi'shi 朝花夕拾
'zhong'shi'zhi'di 众矢之的
'mao'se'dun'kai 茅塞顿开
'zhang'ya'wu'zhao 张牙舞爪
'chi'na'qia'yao 吃拿卡要
'bu'xing'ren'shi 不省人事
'you'di'fang'shi 有的放矢
'zun'shi'zhong'jiao 尊师重教
'gui'shi'shen'chai 鬼使神差
'bo'luo'di'hai 波罗的海
'zhao'ri'xin'wen 朝日新闻
'huan'zhu'ge'ge 还珠格格
'jia'de'man'du 加德满都
'qi'hang'ba'shi 欺行霸市
'zhao'si'mu'xiang 朝思暮想
'yi'ya'huan'ya 以牙还牙
'zhong'nan'qing'nv 重男轻女
'xiang'mu'xiang'yang 像模像样
'pi'ji'tai'lai 否极泰来
'zhao'ling'xi'gai 朝令夕改
'yi'liao'bai'liao 一了百了
'zi'yuan'zi'yi 自怨自艾
'yin'hang'gao'ge 引吭高歌
'ji'qing'ji'zhong 畸轻畸重
'wu'di'fang'shi 无的放矢
'zhong'kou'nan'tiao 众口难调
'cao'zhang'ying'fei 草长莺飞
'zhao'bu'bao'xi 朝不保夕
'zang'chuan'fo'jiao 藏传佛教
'xiao'shi'hua'liao 小事化了
'xue'zu'shi'lv 削足适履
'guai'mu'guai'yang 怪模怪样
'bi'zhong'jiu'qing 避重就轻
'zhao'jiu'wan'wu 朝九晚五
'han'ying'ju'hua 含英咀华
'er'shi'ba'xiu 二十八宿
'en'zhong'ru'shan 恩重如山
'shu'bei'li'zhuan 树碑立传
'zhuang'mu'zuo'yang 装模作样
'tan'guan'xiang'qing 弹冠相庆
'xia'yi'shi'de 下意识地
'jin'ke'neng'de 尽可能地
'yi'ge'jin'de 一个劲地
'xiao'xi'xi'de 笑嘻嘻地
'you'yi'shi'de 有意识地
'bu'jing'yi'de 不经意地
'lan'yang'yang'de 懒洋洋地
'xing'chong'chong'de 兴冲冲地
'chi'luo'luo'de 赤裸裸地
'yi'xiao'liao'zhi 一笑了之
'wu'tiao'jian'de 无条件地
'zhao'san'mu'si 朝三暮四
'xiao'he'he'de 笑呵呵地
'fan'lao'huan'tong 返老还童
'jin'yi'bu'de 进一步地
'diu'san'la'si 丢三落四
'ge'ge'de'xiao 咯咯地笑
'xiao'ying'ying'de 笑盈盈地
'ren'mu'gou'yang 人模狗样
'wu'wang'fu'chai 吴王夫差
'zhong'se'qing'you 重色轻友
'gang'zheng'bu'e 刚正不阿
'yi'mu'shi'hang 一目十行
'da'mu'da'yang 大模大样
'yu'shan'guan'jin 羽扇纶巾
'hao'yi'wu'lao 好逸恶劳
'xin'kuan'ti'pan 心宽体胖
'yi'si'liao'zhi 一死了之
'xu'yu'wei'yi 虚与委蛇
'zhao'qin'mu'chu 朝秦暮楚
'gang'zhi'bu'e 刚直不阿
'yu'yong'ke'gu 余勇可贾
'mai'du'huan'zhu 买椟还珠
'xue'ni'hong'zhao 雪泥鸿爪
'yi'yan'huan'yan 以眼还眼
'san'xing'wu'shen 三省吾身
'zi'lian'zi'yi 自怜自艾
'ren'shi'bu'xing 人事不省
'yi'lin'ban'zhao 一鳞半爪
'qian'zi'an'zhang 潜滋暗长
'qian'yi'shi'de 潜意识地
'tu'qiong'bi'xian 图穷匕见
'yi'ji'duo'ren 以己度人
'fu'zhai'zi'huan 父债子还
'zhao'fa'xi'zhi 朝发夕至
'dun'kai'mao'se 顿开茅塞
'tu'qi'hu'luo 兔起鹘落
'mi'li'tiao'you 蜜里调油
'nian'qing'pa'zhong 拈轻怕重
'an'tu'zhong'qian 安土重迁
'xin'guang'ti'pan 心广体胖
'fen'zhuang'yu'qi 粉妆玉砌
'ming'ru'zhi'bao 命如纸薄
'hen'rong'yi'de 很容易地
'duo'de'liang'li 度德量力
'yi'pu'shi'han 一曝十寒
'mie'ci'zhao'shi 灭此朝食
'dan'si'piao'yin 箪食瓢饮
'shuo'jian'bu'xian 数见不鲜
'zhao'wen'xi'si 朝闻夕死
'zhao'guo'xi'gai 朝过夕改
'e'qi'suo'hao 阿其所好
'huan'dao'ru'qiao 还刀入鞘
'ceng'xian'die'chu 层见叠出
'she'ju'bao'shuai 舍车保帅
'diu'zu'bao'ju 丢卒保车
'feng'tou'zheng'jing 风头正劲
'you'xuan'ze'de 有选择地
'shui'po'liang'shan 水泊梁山
'hu'xing'jiu'mian 鹄形鸠面
'dan'hu'gua'fu 单鹄寡凫
'feng'gong'bu'e 奉公不阿
'bi'mu'se'ting 闭目塞听
'xiao'mi'mi'de 笑眯眯地
'ba'shan'gang'ding 拔山扛鼎
'gong'shou'er'xiang 拱手而降
'yi'zhu'tan'que 以珠弹雀
'she'diao'ying'xiong'zhuan 射雕英雄传
'san'guo'qun'ying'zhuan 三国群英传
'bu'er'shi'wei'ke 布尔什维克
'san'bai'liu'shi'hang 三百六十行
'yi'wu'xiang'yi'wu 一物降一物
'duo'jun'zi'zhi'fu 度君子之腹
'bu'you'zi'zhu'de 不由自主地
'xian'jian'qi'xia'zhuan 仙剑奇侠传
'man'bu'jing'xin'de 漫不经心地
'yao'yao'huang'huang'de 摇摇晃晃地
'qi'shi'xiong'xiong'de 气势汹汹地
'nan'pa'ru'cuo'hang 男怕入错行
'tu'qiong'bi'shou'xian 图穷匕首见
'zui'da'xian'du'de 最大限度地
'wu'yuan'wu'gu'de 无缘无故地
'yi'wu'yi'shi'de 一五一十地
'di'sheng'xia'qi'de 低声下气地
'yi'ge'jing'de 一个劲的
'yi'ji'zhi'zhang 一技之长
'yi'zou'liao'zhi 一走了之
'yi'xiang'yi'xiang'de 一项一项地
'yi'pu'shi'han 一暴十寒
'shi'si'hang'shi 十四行诗
'shi'hang'ju'xia 十行俱下
'shi'wu'bu'she 十恶不赦
'qi'she'ba'kou 七折八扣
'ren'lao'shai'shuai 人老色衰
'ren'ji'jia'zu 人给家足
'ren'xu'wu'hai 人畜无害
'ba'hang'shu 八行书
'liao'ci'yi'sheng 了此一生
'liao'ci'can'sheng 了此残生
'liao'ju 了局
'nie'ye 乜嘢
'san'zang 三藏
'yu'du 于都
'gan'ma 干麽
'xia'si'jing 下死劲
'tai'shan 大山
'da'gong'shuai 大功率
'da'kuai'tang 大会堂
'dai'cheng 大城
'da'bu 大埔
'dai'huang 大黄
'da'pu'jiao 大堡礁
'da'zang'jing 大藏经
'mo'shi'ju'bei 万事俱备
'mo'jia 万家
'shang'zuo'shuai 上座率
'shang'bei 上臂
'xiao'bi 小秘
'chuan'zang 川藏
'ji'shi'hang'le 及时行乐
'yi'zhong'ru'shan 义重如山
'ma'yi 马尾
'feng'du 丰都
'kai'du'he 开都河
'tian'lun'zhi'yue 天伦之乐
'tian'dao'hao'huan 天道好还
'wu'sheng'wu'xiu 无声无臭
'wu'wu'bu'zuo 无恶不作
'wu'zhuo 无着
'za'za'shi'shi 扎扎实实
'za'er'da'li 扎尔达里
'za'xian'dai 扎线带
'za'ge'luo'si 扎格罗斯
'za'lu'te'qi 扎鲁特旗
'za'nang 扎囊
'mu'zha'xian 木栅线
'wu'hang 五行
'zhi'chai 支差
'bu'ke'shuo'ji 不可数集
'bu'zhan'er'xiang 不战而降
'bu'la'su'tao 不落俗套
'bu'la'ke'jiu 不落窠臼
'bu'lou'gui'jiao 不露圭角
'bu'lou'sheng'se 不露声色
'qu'zhang 区长
'ju'lun'zhan 车轮战
'ju'xing 车型
'ju'zhong 车种
'ju'peng 车棚
'ju'ling 车龄
'ya'hang 牙行
'bi'shi'kai'ke 比什凯克
'wa'du'zi 瓦杜兹
'ri'bu'xia'ji 日不暇给
'ri'xing'yue'shi 日省月试
'zhong'shan'lang'zhuan 中山狼传
'zhong'guo'te'shai 中国特色
'zhong'bu'xiang 中埔乡
'nei'bi'du 内比都
'nei'zha'wai'diao 内查外调
'nei'xing 内省
'nei'zhong'wai'qing 内重外轻
'shui'hu'quan'zhuan 水浒全传
'bei'xie'si 贝叶斯
'jian'zhang 见长
'jian'wei'zhi'zhuo 见微知著
'shou'tan 手弹
'niu'bang 牛蒡
'sheng'xue'shuai 升学率
'zhang'zi 长姊
'zhang'sao'ru'mu 长嫂如母
'shi'ye 什叶
'shi'fang 什邡
'shi'sha'hai 什刹海
'shi'xi'er'cang 什袭而藏
'pian'yan'she'yu 片言折狱
'zhao'wa 爪哇
'jie'qiao 介壳
'gong'zi 公仔
'gong'mu'lia 公母俩
'gong'yang'zhuan 公羊传
'cang'cu 仓卒
'yue'zhi'ren 月氏人
'feng'zi'chuo'yao 风姿绰约
'feng'tiao 风调
'dan'shen 丹参
'wu'shi 乌什
'lu'an 六安
'lu'zhi'te'qu 六枝特区
'lu'dian 六点
'wen'hua'juan 文化圈
'wen'ge 文蛤
'wei'shen'mo 为什么
'dou'zhuan'shen'heng 斗转参横
'xin'zhong 心重
'xin'xiu'er 心宿二
'diao'yan 弔唁
'ba'er'di'mo 巴尔的摩
'ba'ji 巴结
'yi'xue'huan'xue 以血还血
'wei'zeng 未曾
'ba'ding 扒钉
'gong'gao'wang'zhong 功高望重
'gong'shuai'yin'shu 功率因数
'shi'hang 世行
'ai'er'mi'ta'shi 艾尔米塔什
'gu'piao 古朴
'gu'dian'yue 古典乐
'gu'pu 古堡
'ben'shai 本色
'ben'huo 夯货
'da'fen'ji 达芬奇
'ya'hua'ji 轧花机
'ya'ran 轧染
'ya'mian 轧棉
'dong'e 东阿
'ka'wen'di'shi 卡文迪什
'ka'er'za'yi 卡尔扎伊
'ka'la'ji'ji 卡拉季奇
'jiu'du 旧都
'gui'xing 归省
'mu'bu'xia'ji 目不暇给
'tao'pei'mo'zuo 叨陪末座
'sheng'chan'ji'de 生产基地
'shi'ju'ju 矢车菊
'bai'zhu 白术
'zi'jiang 仔姜
'zi'chu 仔畜
'yin'gu'shi 印古什
'yin'de 印地
'yue'yi'wang'you 乐以忘忧
'yue'xue'zhe 乐学者
'yue'jing 乐经
'yue'lv 乐律
'yue'yin 乐音
'yue'qing 乐清
'ju'dou 句读
'fan'er'bu'jiao 犯而不校
'fan'dei'shang 犯得上
'lan're 兰若
'lan'cui'yu'she 兰摧玉折
'hui'chu'hang 汇出行
'tou'kuai'ji'lian 头会箕敛
'tou'qing'jiao'zhong 头轻脚重
'tou'zhong 头重
'han'pu'bao 汉堡包
'ning'si'bu'xiang 宁死不降
'ning'she'bu'wan 宁折不弯
'ning'du 宁都
'li'qing'ren'yi'zhong 礼轻人意重
'li'beng'yue'huai 礼崩乐坏
'bi'huo'bi'tuo 必和必拓
'bi'dei 必得
'ni'mi'zi 尼米兹
'min'yue 民乐
'fu'lan'zi 弗兰兹
'chu'la 出落
'nu'er'gan'du'si 奴儿干都司
'jia'di'si 加的斯
'jia'zi'ni 加兹尼
'shao'ling 召陵
'sheng'jing'xian'zhuan 圣经贤传
'sheng'he'lei'na 圣赫勒拿
'si'bo 丝柏
'rong'hang 戎行
'dong'ju'zu 动车组
'kao'zha 考查
'lao'hu'wu'zi 老虎伍兹
'lao'mu 老姥
'zhi'zhuo 执著
'de'xia'dang 地下党
'de'jia 地价
'di'pu 地堡
'di'zang'wang'pu'sa 地藏王菩萨
'que'pi 芍陂
'po'zi 朴子
'guo'dei'qu 过得去
'you'xie'you'rou 有血有肉
'you'hang'wu'shi 有行无市
'you'tiao'you'li'de 有条有理地
'you'jie'wu'huan 有借无还
'bai'ri'hai 百日咳
'bo'se 百色
'si'luo 死咯
'cheng'hang 成行
'yao'du 尧都
'bi'zi 毕兹
'bi'xiu'wu 毕宿五
'dang'hang'chu'se 当行出色
'tu'yu'hun 吐谷浑
'tong'wu'xiang'ji 同恶相济
'xi'xie 吸血
'xi'zhuo 吸着
'hui'he 回纥
'hui'she 回折
'hui'huan 回还
'hui'hu 回鹘
'nian'gao'wang'zhong 年高望重
'zhu'yun'she'kan 朱云折槛
'zhu'jun 朱隽
'zhuan'hu'ji 传呼机
'zhuan'tong'wen'hua 传统文化
'zhuan're'xue 传热学
'zhuan'bo'xue 传播学
'zhuan'zan 传赞
'ren'zhong 任重
'shang'zhong'shen'wang 伤重身亡
'zi'xing 自省
'zi'yi'ji'li 自食其力
'zi'yi'ji'yan 自食其言
'zi'yi'ji'guo 自食其果
'zi'ji 自给
'zi'pu 自曝
'yi'mo'nuo'fu 伊万诺夫
'xie'yun 血晕
'xue'zhai'xue'huan 血债血还
'xue'se 血塞
'hou'fei'zhi'ren 后发制人
'hang'yu 行语
'hang'shang 行商
'za'ta 杂遝
'duo'cai'shan'gu 多财善贾
'duo'za 多咱
'duo'qian'shan'gu 多钱善贾
'zheng'zhang'lun'duan 争长论短
'zheng'zhang'jing'duan 争长竞短
'shai'da'xian 色达县
'shai'dai 色带
'shai'yu 色域
'shai'wen 色温
'shai'pu'yi 色谱仪
'liu'xu 刘昫
'qi'min'wang 齐湣王
'ci'zhang 次长
'chan'zi 产仔
'jiang'du 江都
'fan'lan 汎滥
'xing'du'ku'shi'shan 兴都库什山
'shou'zheng'bu'e 守正不阿
'zhai'ji'de 宅基地
'an'zhong'gen 安重根
'xu'qin'fu 许廑父
'fang'zha 访查
'xin'kai'xin 寻开心
'xin'si'mi'huo 寻死觅活
'xun'di 寻的
'na'la'di'cao'yuan 那拉提草原
'nei'xie 那些
'na'me 那麽
'shou'yi'shuai 收益率
'fang'zhang 防长
'hao'jie'hao'huan 好借好还
'hao'shan'e'wu 好善恶恶
'mu'ping 牟平
'hong'sha 红杉
'duo'zi 驮子
'xian'mao 纤毛
'xian'chen 纤尘
'xian'xin 纤芯
'xian'du 纤度
'xian'mei 纤美
'xian'xi 纤悉
'xian'mi 纤密
'xian'wei 纤微
'xian'shou 纤瘦
'xun'zha 巡查
'mai'ge'ti 麦盖提
'ji'lia 技俩
'zhao'zhao 找着
'pi'gang'dao'xu 批亢捣虚
'chao'zha 抄查
'she'hao 折耗
'she'qian 折钱
'she'zhong 折衷
'she'sha 折煞
'qiao'pai 壳牌
'sheng'na 声呐
'yuan'hua 芫花
'hua'ni 花呢
'hua'du 花都
'hua'ge 花蛤
'hua'qi'shen 花旗参
'gai'lan 芥兰
'gai'lan 芥蓝
'cang'jing 苍劲
'yan'zha 严查
'ke'shi'ke'teng 克什克腾
'du'suo'fu'ren 杜莎夫人
'du'se 杜塞
'sha'mu 杉木
'sha'shu 杉树
'li'gong'piao 李公朴
'li'wen 李玟
'li'zong'cheng 李宗盛
'li'wa'zhuan 李娃传
'li'kui 李悝
'bo'xing 孛星
'dou'jue'er 豆角儿
'liang'de 两地
'hai'mo 还没
'huan'xi 还席
'huan'hun 还魂
'tui'sha'qing'duo 忒煞情多
'wu'bu 吴堡
'li'ji'hou'zhong 里急后重
'bi'ding 吡啶
'yin'e 吟哦
'bie'wu'zhang'wu 别无长物
'cai'zhang 财长
'li'zi 利兹
'zuo'yue 作乐
'bai'nu'li 伯努利
'shen'wu'zhang'wu 身无长物
'si'fu 伺服
'si'xi 伺隙
'fu'ji'ni'ya 佛吉尼亚
'fu'luo'li'da 佛罗里达
'jia'shi 伽师
'jia'luo'wa 伽罗瓦
'jia'luo'hua 伽罗华
'jia'ye 伽倻
'che'zha 彻查
'yi'xu 役畜
'pang'yang 彷徉
'gu'liang'zhuan 谷梁传
'jue'li 角力
'jue'dou 角斗
'jue'di 角抵
'jiu'mo'luo'shi 鸠摩罗什
'pao'gong 刨工
'pao'hua 刨花
'pao'gen 刨根
'ji'shang 系上
'ji'bo 系泊
'leng'sha 冷杉
'leng'zhan 冷颤
'zhe'me'zhao 这么着
'zhei'xie 这些
'zhe'me 这麽
'qi'ju'bao'shuai 弃车保帅
'min'hang'qu 闵行区
'lun'mo 沦没
'mei'tou'mo'wei 没头没尾
'mei'tou'mo'nao 没头没脑
'mo'yao 没药
'mei'qing'mei'zhong 没轻没重
'chen'zhong 沈重
'chen'mo 沈默
'ping'wei'kuai 评委会
'chu'lou'duan'ni 初露端倪
'she'kuai'ge'jie 社会各界
'ling'zhang 灵长
'ceng'xian'die'chu 层见迭出
'sui'yang 尿样
'zhang'jue 张角
'zhang'guo'tao 张国焘
'zhang'seng'you 张僧繇
'e'bi 阿比
'a'bu'za'bi 阿布扎比
'a'bu'ha'zi 阿布哈兹
'e'jia'xi 阿加西
'a'er'tui'mi'si 阿耳忒弥斯
'a'fu'jia'de'luo 阿伏伽德罗
'a'fo'luo'di'tui 阿佛洛狄忒
'e'fu 阿附
'e'la'lei 阿拉蕾
'e'di 阿迪
'a'tu'shi 阿图什
'a'di'ping 阿的平
'e'ci'te'ke 阿兹特克
'e'jiao 阿胶
'e'du 阿堵
'e'ji'li'si 阿基里斯
'e'tong'mu 阿童木
'chen'xing'shen 陈省身
'jing'chui 劲吹
'jing'ba 劲拔
'jing'zhi 劲直
'jing'zu 劲卒
'jing'ting 劲挺
'jing'cao 劲草
'jing'ji 劲急
'jing'lie 劲烈
'jing'qiao 劲峭
'jing'bao 劲爆
'ji'zhao 鸡爪
'ji'xie'shi 鸡血石
'ji'zong 鸡枞
'chun'piao 纯朴
'na'xiang 纳降
'wu'du 武都
'wu'xi 武谿
'ta'yin 拓印
'chou'zha 抽查
'chou'ye 抽咽
'tuo'de 拖地
'la'shi'mo'er'shan 拉什莫尔山
'ban'huo 拌和
'zhuo'piao 拙朴
'zhai'ri'zi 择日子
'pan'qi 拚弃
'pan'ming 拚命
'ku'shen 苦参
'jia'ke 茄克
'zong'yang 枞阳
'zhen'jie 枕藉
'ji'han'shu 奇函数
'ji'ti'lei 奇蹄类
'zhuai'wen 转文
'zhuan'nian'fan'ce 转辗反侧
'guo'du 国都
'guo'jia'de'li 国家地理
'chang'du 昌都
'ming'zha'an'fang 明查暗访
'ka'ta'ka'ta 咔嗒咔嗒
'dian'yu'zhang 典狱长
'ga'xia 呷呷
'ka'li 咖哩
'luo'cha 罗刹
'luo'cheng'jiao 罗盛教
'tu'lu'zi 图卢兹
'zhi'teng'zhao're 知疼着热
'huo'mian 和面
'hu'pai 和牌
'shi'tu'xing'zhuan 使徒行传
'zhen'zha 侦查
'ping'jie 凭藉
'di'li'bo'li 的黎波里
'zhi'piao 质朴
'wang'huan 往还
'jin'shan'zhun 金山屯
'jin'zhen'duo'ren 金针度人
'jin'gui 金匮
'shou'xiang 受降
'shou'shan 受禅
'nian'zi'zai'zi 念兹在兹
'gu'dong'mo 股动脉
'zhou'bai'tong 周伯通
'hun'ding'chen'xing 昏定晨省
'xun'shan'yin'xiu'hui 郇山隐修会
'gou'xie'pen'tou 狗血喷头
'gou'pao 狗刨
'bei'zha 备查
'fei'zhang'li'you 废长立幼
'shan'xian 单县
'fa'bu'e'gui 法不阿贵
'he'xi'pu 河西堡
'he'qing'nan'si 河清难俟
'bi'yang 泌阳
'bi'niao 泌尿
'bo'zi'nan 波兹南
'bo'zi'man 波兹曼
'zheng'zhong 怔忪
'xue'shu'yan'tao'kuai 学术研讨会
'yi'du 宜都
'shen'ji'zhang 审计长
'shen'zha 审查
'shen'duo 审度
'fang'de'chan'shang 房地产商
'cheng'piao 诚朴
'hua'yin'wei'la 话音未落
'jie'mei'lia 姐妹俩
'shen'rong 参茸
'can'jiao 参校
'shen'xiu'qi 参宿七
'zu'wei'kuai 组委会
'xi'tao 细挑
'jing'zhuan 经传
'chun'qiu'san'zhuan 春秋三传
'chun'qiu'zuo'shi'zhuan 春秋左氏传
'du'zhao 毒爪
'xie'shan'chao'hai 挟山超海
'bi'lin 贲临
'she'ji 拾级
'dian'juan 垫圈
'wa'de'san'chi 挖地三尺
'wa'jue 挖角
'jian'zhui 荐椎
'xun'yu 荤粥
'ying'jing 荥经
'gu'du 故都
'biao'zhi 标识
'zha'kan 查看
'zha'he 查核
'zha'quan 查拳
'zha'tan 查探
'bo'liao'zi 柏辽兹
'bo'bo'er 柏柏尔
'bo'yue 柏悦
'ju'yuan 枸橼
'zha'zi 栅子
'zha'tiao 栅条
'liu'yi'zhuan 柳毅传
'wei'zhong 威重
'qi'he 砌合
'qi'kuai 砌块
'qi'ti 砌体
'qi'zhuan 砌砖
'mian'wu'xie'se 面无血色
'mian'she'ting'zheng 面折廷争
'qing'cai'zhong'yi 轻财重义
'qing'ji 轻骑
'lin'shen'lv'bao 临深履薄
'xing'shi 省视
'xing'wu 省悟
'xue'jian'xi'yao 削肩细腰
'xue'tie'ru'ni 削铁如泥
'xue'zhi 削职
'ying'shu'yan'yue 郢书燕说
'xian'shi'bing 显示屏
'zi'ya 呲牙
'pin'zhu'tan'si 品竹弹丝
'za'jia 咱家
'ge'cha 咯嚓
'yao'jue 咬嚼
'hai'sheng'tan'qi 咳声叹气
'nei'ge 哪个
'nei'xie 哪些
'zheng'zhong'ji 帧中继
'zheng'ge'shi 帧格式
'gu'shi 骨殖
'zhong'yue 钟乐
'zen'me'zhao 怎么着
'chong'xing 种姓
'ke'luo'nuo 科罗娜
'zhong'yi'qing'li 重义轻利
'zhong'zi 重子
'zhong'yuan'su 重元素
'zhong'wu 重五
'zhong'shui 重水
'zhong'jian'tian'ri 重见天日
'zhong'ban 重办
'zhong'sheng 重生
'zhong'jia 重价
'zhong'ming 重名
'zhong'nong 重农
'zhong'zu'er'li 重足而立
'zhong'ting 重听
'zhong'pan 重判
'zhong'zai 重灾
'zhong'wu'qing'wen 重武轻文
'zhong'die 重迭
'zhong'you 重油
'zhong'hua 重话
'zhong'qing 重氢
'zhong'luan'die'zhang 重峦叠嶂
'zhong'pao 重炮
'zhong'jie'jing 重结晶
'zhong'zai 重载
'zhong'qi'lu'zao 重起炉灶
'zhong'he 重核
'zhong'zheng 重症
'zhong'li'zi 重离子
'zhong'an 重案
'zhong'du 重读
'zhong'shang'zhu'yi 重商主义
'zhong'wang 重望
'chong'tan 重弹
'zhong'jing'shi 重晶石
'zhong'cheng 重惩
'zhong'lou 重楼
'zhong'du'tian'ri 重睹天日
'zhong'zui 重罪
'zhong'la 重辣
'zhong'cao'jiu'ye 重操旧业
'zhong'qi 重器
'zhong'dao'fu'zhe 重蹈覆辙
'zhong'bi 重臂
'fu'zha 复查
'pian'ren 便人
'bian'pian 便便
'bian'bi 便秘
'huang'e'ma 皇阿玛
'zhui'huan 追还
'zhui'zha 追查
'si'ji 俟机
'si'hou 俟候
'ji'ying'diao'nian 急景凋年
'bing'cheng 饼铛
'qiang'bo'zhi'zhu 将伯之助
'ai'shang'de 哀伤地
'zi'tai'mo'qian 姿态万千
'di'du 帝都
'shi'pu 施暴
'chai'yi 差役
'chai'pai 差派
'mei'rong'jiao 美容觉
'shou'zhong 首重
'zi'shi'ti'da 兹事体大
'zong'zhang 总长
'hong'tong'xian 洪洞县
'huo'fa 活泛
'yang'qiao 洋壳
'hen'wu 恨恶
'xuan'zhuan'bu 宣传部
'shi'ting 室町
'gong'shang'jue'zhi'yu 宫商角徵羽
'pian'xing'dong'wu'men 扁形动物门
'shen'chai'gui'shi 神差鬼使
'shui'fu 说服
'tui'shai 退色
'tui'geng'huan'lin 退耕还林
'bing'chu 屏除
'bing'ying 屏营
'bing'bi'ceng 屏蔽层
'yun'dan'keng 陨石坑
'lao'sai'hu 络腮胡
'ba'di 耙地
'qin'gui 秦桧
'hun'chun 珲春
'lao'shi'zi 捞什子
'bu'li'zhen 埔里镇
'zhuo'jin'xian'zhou 捉襟见肘
'sun'bing'she'jiang 损兵折将
'du'yun 都匀
'du'lan 都兰
'du'bo'lin 都伯林
'du'ling 都灵
'du'chang 都昌
'du'pang'ling 都庞岭
'lai'bu'ni'zi 莱布尼兹
'mo'er'zi'bi'gang 莫尔兹比港
'shen'xian 莘县
'wu'ping 恶评
'wu'qu'wei 恶趣味
'lang'dang 莨菪
'zhen'xin'shi'yi'de 真心实意地
'zhen'shuai 真率
'xi'xia'shi 栖霞市
'ge'zi'ni 格子呢
'xiao'you'kuai 校友会
'hu'er 核儿
'he'men'jian 核门槛
'he'zha 核查
'ge'de'pu 哥德堡
'su'tiao'guan 速调管
'pei'zhong 配重
'pei'chen 配称
'po'di 破的
'zhu'hang 逐行
'zhai'men 柴门
